guid,date,title,desc,duration,category
22583335,2026-02-11,"Man, 20s, being held over murder of Daniel Aruebose","Paul Reynolds, Crime Correspondent, reports on a man in his 20s being arrested on suspicion of the murder of Daniel Areubose.",171,Crime / Justice
22583338,2026-02-11,Minister denies seclusion used as substitute for care,"Mary Butler TD, Minister of State at the Department of Health with special responsibility for Mental Health, reacting to the RTÉ Investigates programme which outlined an increase in psychiatric patients being held in prison while waiting for a place in the Central Mental Hospital.",764,Politics / Gov
22583354,2026-02-11,8.35am Sports News,Presented by Des Cahill.,333,Sports
22583339,2026-02-11,"Scheme to compensate Stardust survivors 'disappointing', says solicitor","Jimmy Fitzpatrick, Stardust survivor and campaigner, on the new compensation scheme for survivors of the nightclub tragedy.",388,Crime / Justice
22583355,2026-02-11,Briefing on review into Temple Street spinal surgeries,"Fergal Bowers, Health Correspondent, reports on the private briefing to take place this morning by the HSE on an independent review conducted by a UK expert into children's spinal operations.",216,Other
22583365,2026-02-11,What does AI music mean for artists?,"Dr Martin Clancy, founder and CEO of AI:OK, on the use of AI to generate cover versions of songs.",273,Arts / Culture
22582922,2026-02-10,7.10am It Says In The Papers,Presented by Shane McElhatton.,231,It Says in Papers
22582923,2026-02-10,Approval sought over legislation on ending airport passenger cap,"Joe Mag Raollaigh, Political Coverage Editor, reports on the end of the Dublin Airport passenger cap which is to be progressed at Cabinet.",283,Transport
22582924,2026-02-10,UK cabinet ministers back Starmer amid call to resign,"Laura Fletcher, RTE News Reporter, on Buckingham Palace agreeing to support police in their investigation of Andrew Mountbatten Windsor and Keir Starmer's future as UK Prime Minister.",522,Politics / Gov
22582928,2026-02-10,Irish Govt found in breach of European rules on Defence Forces pay and working conditions,"Lieutenant Colonel Conor King, General Secretary of the Representative Association of Commissioned Officers, discusses Monday's European Committee on Social Rights ruling that Ireland is in breach of the European Social Charter regarding payment of overtime to Irish Defence Forces personnel.",269,International
22582926,2026-02-10,7.35am Sports News,Presented by Darren Frehill.,249,Sports
22582927,2026-02-10,Drop in heart attack patients seeking immediate help - report,"Professor Ronan Margey, National Clinical Lead for the Irish Heart Attack Audit, outlines a new report into the number of patients seeking immediate help after having a major heart attack.",411,Health / HSE
22582925,2026-02-10,Safer Internet Day warns of AI dangers for children,"Alex Cooney, CEO and Co-founder of Cybersafe Kids, discusses Safer Internet Day 2026 and their latest findings around child internet use.",253,Tech / Digital
22582929,2026-02-10,7.50am Business News,Presented by Adam Maguire.,257,Business
22582930,2026-02-10,Weather Forecast,Presented by Donal Egan.,129,Weather
22582931,2026-02-10,8am News Bulletin,Presented by Susan Jackson.,339,News Bulletin
22582932,2026-02-10,8.10am It Says In The Papers,Presented by Shane McElhatton.,229,It Says in Papers
